Eastern Orphean Warbler 
Dark sided Flycatcher
Asian Brown Flycatcher 
Rusty tailed Flycatcher 
Brown breasted Flycatcher 
Yellow rumped Flycatcher 
Red breasted Flycatcher
Red throated Flycatcher
Utramarine Flycatcher
Black and Orange Flycatcher 
Verditer Flycatcher 
Nilgiri Flycatcher 
White bellied Blue Flycatcher 
Blue throated Flycatcher 
Tickells Blue Flycatcher 
Grey headed Canary Flycatcher 
Asian Paradise Flycatcher 
Black naped Blue Monarch 
White spotted Fantail
White browed Fantail
Great Tit 
White naped Tit
Indian Yellow Tit 
Indian Nuthatch 
Velvet fronted Nuthatch 
Thick billed Flowerpecker 
Pale billed Flowerpecker 
Nilgiri Flowerpecker 
Purple rumped Sunbird 
Small Sunbird 
Purple Sunbird 
Lotens Sunbird 
Vigors Sunbird
Little Spiderhunter 
Oriental White eye 
Crested Bunting
Grey necked Bunting 
Black headed Bunting
Red headed Bunting
Common Rosefinch 
Red Avadavat
Indian Silverbill
White rumped Munia 
Black throated Munia 
Scaly breasted Munia 
Tricoloured Munia 
House Sparrow 
Yellow throated Sparrow 
Black breasted Weaver
Streaked Weaver 
Baya Weaver 
Grey headed Starling 
Malabar White headed Starling
Brahminy Starling 
Rosy Starling 
Common Starling 
Asian Pied Starling
Common Myna 
Bank Myna
Jungle Myna 
Lesser Hill Myna 
Indian Golden Oriole 
Black naped Oriole 
Black hooded Oriole 
Black Drongo 
Ashy Drongo 
White bellied Drongo 
Bronzed Drongo 
Spangled Drongo 
Greater Racket tailed Drongo 
Ashy Woodswallow 
Indian Treepie 
White bellied Treepie 
House Crow 
Indian Jungle Crow 
